streams,acousticness,danceability,energy,liveness,speechiness,valence
104141294.00,0.13,0.75,0.63,0.09,0.06,0.52
9809956.00,0.08,0.35,0.76,0.39,0.73,0.44
1730738.00,0.00,0.84,0.58,0.23,0.14,0.19
11882167.00,0.29,0.62,0.63,0.31,0.55,0.67
99336818.00,0.19,0.84,0.80,0.09,0.09,0.77
4816077.00,0.04,0.86,0.56,0.15,0.17,0.48
26510697.00,0.00,0.90,0.51,0.06,0.39,0.60
214500332.00,0.16,0.88,0.67,0.19,0.14,0.68
877954.00,0.53,0.60,0.46,0.09,0.30,0.46
557997.00,0.01,0.58,0.92,0.11,0.05,0.85
1155602.00,0.63,0.25,0.22,0.46,0.04,0.08
6981926.00,0.28,0.77,0.55,0.05,0.06,0.90
1456832.00,0.20,0.69,0.52,0.49,0.16,0.41
93654310.00,0.17,0.73,0.73,0.35,0.09,0.47
4806223.00,0.21,0.52,0.83,0.06,0.37,0.93
10407677.00,0.04,0.96,0.60,0.27,0.12,0.61
812040.00,0.80,0.66,0.64,0.10,0.36,0.57
5585004.00,0.33,0.40,0.65,0.10,0.05,0.16
954067.00,0.38,0.82,0.51,0.11,0.39,0.18
20005636.00,0.06,0.65,0.85,0.06,0.09,0.62
691227.00,0.51,0.45,0.74,0.08,0.48,0.64
11335143.00,0.22,0.70,0.58,0.11,0.16,0.23
53948923.00,0.10,0.41,0.42,0.13,0.03,0.20
11843789.00,0.37,0.67,0.53,0.32,0.03,0.49
2896227.00,0.24,0.79,0.66,0.12,0.15,0.31
11363367.00,0.07,0.73,0.61,0.10,0.08,0.52
525395.00,0.07,0.95,0.58,0.10,0.32,0.26
5173152.00,0.89,0.27,0.24,0.28,0.03,0.12
10580175.00,0.07,0.66,0.66,0.13,0.06,0.51
114353875.00,0.16,0.60,0.64,0.10,0.04,0.35
3799187.00,0.13,0.77,0.61,0.09,0.13,0.56
105576121.00,0.48,0.73,0.86,0.11,0.03,0.52
2891805.00,0.00,0.91,0.62,0.40,0.05,0.35
980111.00,0.01,0.54,0.85,0.13,0.04,0.46
30049205.00,0.02,0.88,0.60,0.18,0.25,0.41
25318526.00,0.85,0.61,0.17,0.09,0.03,0.19
2618086.00,0.97,0.16,0.18,0.26,0.04,0.11
1847594.00,0.29,0.70,0.71,0.09,0.52,0.60
861296.00,0.00,0.62,0.86,0.08,0.04,0.32
6651462.00,0.33,0.80,0.53,0.06,0.07,0.75
1369926.00,0.11,0.36,0.60,0.10,0.04,0.20
20342559.00,0.00,0.71,0.86,0.10,0.09,0.45
